sender,receiver,amount,timestamp,tx_type
ACC_0028,ACC_0382,1081.15,2024-02-06 06:13:11,payment
ACC_0335,ACC_0095,516.82,2024-01-21 07:23:58,transfer
ACC_0405,ACC_0460,608.35,2024-03-23 04:41:45,payment
ACC_0499,ACC_0407,784.41,2024-03-27 10:19:38,withdrawal
ACC_0138,ACC_0280,736.94,2024-01-24 19:31:50,transfer
ACC_0349,ACC_0126,787.47,2024-02-24 17:55:47,transfer
ACC_0385,ACC_0368,487.19,2024-03-16 03:52:18,transfer
ACC_0285,ACC_0181,100.0,2024-03-30 11:12:28,transfer
ACC_0448,ACC_0259,202580.21,2024-03-10 02:03:31,transfer
ACC_0044,ACC_0169,1451.85,2024-03-08 05:41:01,transfer
ACC_0086,ACC_0097,915.82,2024-02-09 04:13:20,withdrawal
ACC_0239,ACC_0263,172755.29,2024-02-27 19:15:54,withdrawal
ACC_0082,ACC_0205,1112.61,2024-01-22 21:09:47,transfer
ACC_0461,ACC_0496,2669.64,2024-03-06 16:24:03,transfer
ACC_0207,ACC_0234,483.91,2024-01-16 15:18:35,transfer
ACC_0092,ACC_0118,3236.75,2024-01-27 01:10:05,withdrawal
ACC_0269,ACC_0401,1351.18,2024-02-24 02:56:32,transfer
ACC_0137,ACC_0067,1993.34,2024-02-16 04:59:29,transfer
ACC_0201,ACC_0423,248.81,2024-01-24 00:35:16,transfer
ACC_0017,ACC_0393,670.87,2024-02-27 12:46:50,transfer
ACC_0196,ACC_0458,1389.96,2024-01-23 08:01:47,transfer
ACC_0424,ACC_0261,3736.03,2024-01-05 13:09:27,transfer
ACC_0049,ACC_0309,3675.29,2024-02-24 05:28:30,payment
ACC_0064,ACC_0079,2780.45,2024-03-25 11:11:05,transfer
ACC_0028,ACC_0438,517.28,2024-03-29 14:35:51,payment
ACC_0372,ACC_0080,72319.79,2024-03-08 10:36:07,transfer
ACC_0493,ACC_0119,935.68,2024-03-01 12:20:30,payment
ACC_0252,ACC_0428,6942.91,2024-02-05 13:25:11,withdrawal
ACC_0399,ACC_0123,1859.24,2024-01-27 01:19:23,payment
ACC_0338,ACC_0398,1222.3,2024-01-17 23:13:31,withdrawal
ACC_0003,ACC_0360,2299.72,2024-01-15 02:35:21,transfer
ACC_0492,ACC_0177,1437.14,2024-02-27 10:33:46,withdrawal
ACC_0111,ACC_0046,100.0,2024-02-25 09:37:30,transfer
ACC_0437,ACC_0258,1344.19,2024-03-11 21:37:57,withdrawal
ACC_0240,ACC_0441,1297.8,2024-01-23 10:55:36,transfer
ACC_0385,ACC_0117,2934.84,2024-02-24 13:44:37,payment
ACC_0473,ACC_0012,1711.12,2024-03-23 14:35:45,payment
ACC_0355,ACC_0302,193.88,2024-02-14 14:30:25,transfer
ACC_0409,ACC_0432,100.0,2024-03-16 17:03:01,withdrawal
ACC_0198,ACC_0433,873.97,2024-01-05 13:54:08,transfer
ACC_0262,ACC_0433,2380.65,2024-03-07 03:05:00,transfer
ACC_0442,ACC_0273,6056.67,2024-02-17 19:35:32,transfer
ACC_0397,ACC_0115,7281.94,2024-01-31 15:15:03,payment
ACC_0479,ACC_0053,2907.24,2024-02-27 04:48:37,payment
ACC_0051,ACC_0238,2518.19,2024-01-06 12:04:39,transfer
ACC_0320,ACC_0008,4904.86,2024-03-20 22:12:24,transfer
ACC_0485,ACC_0289,459.99,2024-01-24 16:19:15,withdrawal
ACC_0486,ACC_0339,662.15,2024-03-23 23:17:55,transfer
ACC_0145,ACC_0105,250.08,2024-01-17 20:46:56,transfer
ACC_0060,ACC_0030,131.74,2024-03-30 02:01:04,transfer
ACC_0263,ACC_0413,1166.41,2024-01-08 15:39:11,payment
ACC_0387,ACC_0204,2022.5,2024-03-20 09:29:53,payment
ACC_0469,ACC_0356,2536.23,2024-03-04 09:52:27,transfer
ACC_0173,ACC_0034,1907.38,2024-01-16 06:34:56,transfer
ACC_0210,ACC_0076,1127.39,2024-03-12 22:58:36,transfer
ACC_0421,ACC_0476,2813.87,2024-03-02 17:52:03,transfer
ACC_0440,ACC_0382,1810.49,2024-03-08 17:45:24,payment
ACC_0108,ACC_0325,2185.55,2024-03-22 21:09:38,payment
ACC_0124,ACC_0144,914.25,2024-01-26 14:36:40,payment
ACC_0310,ACC_0077,562.78,2024-02-26 02:51:36,payment
ACC_0308,ACC_0337,4303.7,2024-02-24 20:16:36,transfer
ACC_0037,ACC_0025,22134.52,2024-02-06 19:30:57,transfer
ACC_0165,ACC_0220,3976.95,2024-03-10 09:16:48,payment
ACC_0118,ACC_0231,1132.24,2024-02-19 02:55:27,transfer
ACC_0270,ACC_0249,2691.83,2024-03-05 22:19:21,transfer
ACC_0463,ACC_0479,1302.54,2024-02-17 13:54:01,payment
ACC_0060,ACC_0035,759.58,2024-03-01 04:13:36,withdrawal
ACC_0240,ACC_0167,1330.11,2024-02-14 09:58:27,withdrawal
ACC_0256,ACC_0225,263.54,2024-02-08 08:07:07,transfer
ACC_0108,ACC_0293,1090.38,2024-01-01 01:13:37,payment
ACC_0269,ACC_0366,110.41,2024-01-20 09:27:48,transfer
ACC_0284,ACC_0052,574.76,2024-03-25 16:43:29,payment
ACC_0097,ACC_0163,1547.94,2024-01-28 17:25:08,payment
ACC_0206,ACC_0076,638.91,2024-01-21 18:16:00,payment
ACC_0078,ACC_0378,347.34,2024-02-02 09:35:17,transfer
ACC_0499,ACC_0362,1999.62,2024-01-26 19:41:15,transfer
ACC_0319,ACC_0291,2675.51,2024-01-31 16:19:19,withdrawal
ACC_0319,ACC_0200,995.36,2024-03-24 23:08:10,payment
ACC_0334,ACC_0416,854.89,2024-03-25 11:32:49,withdrawal
ACC_0219,ACC_0224,888.63,2024-03-29 15:42:03,payment
ACC_0480,ACC_0134,750.83,2024-02-27 07:42:02,payment
ACC_0273,ACC_0087,1184.63,2024-02-15 11:53:09,transfer
ACC_0339,ACC_0374,366.72,2024-02-08 04:00:17,transfer
ACC_0165,ACC_0215,3148.51,2024-01-17 23:37:06,transfer
ACC_0028,ACC_0113,9906.12,2024-03-29 14:53:35,transfer
ACC_0276,ACC_0488,44661.85,2024-01-29 11:20:26,payment
ACC_0445,ACC_0137,286.97,2024-01-01 21:49:20,payment
ACC_0027,ACC_0402,212273.63,2024-01-02 22:55:21,transfer
ACC_0259,ACC_0303,1931.56,2024-03-01 17:43:19,transfer
ACC_0221,ACC_0225,1603.19,2024-03-13 05:56:41,transfer
ACC_0274,ACC_0089,774.56,2024-01-31 08:12:58,transfer
ACC_0274,ACC_0448,5129.57,2024-01-19 06:01:38,payment
ACC_0098,ACC_0299,2162.42,2024-03-19 09:52:31,transfer
ACC_0247,ACC_0460,610.65,2024-02-12 22:49:23,transfer
ACC_0366,ACC_0022,226.94,2024-02-13 09:11:49,transfer
ACC_0355,ACC_0162,1114.24,2024-02-09 12:37:32,payment
ACC_0315,ACC_0388,9358.0,2024-01-20 22:39:50,transfer
ACC_0355,ACC_0432,3862.32,2024-02-12 18:02:54,transfer
ACC_0089,ACC_0021,1252.51,2024-02-21 18:22:00,transfer
ACC_0227,ACC_0041,1884.99,2024-01-16 21:36:02,withdrawal
ACC_0217,ACC_0100,232428.44,2024-02-17 22:24:01,withdrawal
ACC_0008,ACC_0259,100.0,2024-03-26 16:09:58,payment
ACC_0357,ACC_0485,4339.85,2024-01-21 22:28:00,payment
ACC_0485,ACC_0394,1197.21,2024-01-08 00:49:02,payment
ACC_0469,ACC_0307,961.46,2024-02-27 10:26:00,transfer
ACC_0285,ACC_0331,172.86,2024-03-07 13:54:11,payment
ACC_0091,ACC_0424,779.3,2024-03-06 01:06:32,transfer
ACC_0254,ACC_0463,769.08,2024-03-28 06:01:49,transfer
ACC_0484,ACC_0087,55285.11,2024-03-06 12:57:20,withdrawal
ACC_0231,ACC_0260,495.98,2024-03-07 01:45:21,withdrawal
ACC_0328,ACC_0189,2990.92,2024-03-11 16:15:32,payment
ACC_0120,ACC_0238,143.79,2024-03-24 09:36:29,payment
ACC_0322,ACC_0493,1115.66,2024-02-10 13:54:15,payment
ACC_0044,ACC_0428,470.78,2024-01-31 13:49:46,transfer
ACC_0377,ACC_0376,71638.04,2024-02-16 00:46:46,payment
ACC_0167,ACC_0365,2937.38,2024-02-16 19:21:19,transfer
ACC_0400,ACC_0476,4165.65,2024-01-18 01:43:10,withdrawal
ACC_0057,ACC_0344,183.59,2024-02-14 00:48:46,transfer
ACC_0093,ACC_0343,100.0,2024-02-18 19:27:18,transfer
ACC_0143,ACC_0104,347.5,2024-02-09 16:43:38,payment
ACC_0134,ACC_0139,418.03,2024-03-02 16:27:11,transfer
ACC_0307,ACC_0164,414.82,2024-02-28 14:53:00,transfer
ACC_0226,ACC_0124,1886.61,2024-01-30 03:14:36,payment
ACC_0197,ACC_0002,538.43,2024-02-04 00:07:45,payment
ACC_0072,ACC_0010,1463.07,2024-03-09 02:02:35,transfer
ACC_0172,ACC_0369,436.45,2024-01-10 00:37:14,withdrawal
ACC_0162,ACC_0011,2612.14,2024-01-23 05:46:57,transfer
ACC_0381,ACC_0384,2254.06,2024-03-11 21:07:12,withdrawal
ACC_0491,ACC_0490,100.0,2024-02-02 23:32:35,payment
ACC_0222,ACC_0268,793.02,2024-01-14 04:57:55,withdrawal
ACC_0095,ACC_0008,3280.42,2024-01-10 06:16:20,transfer
ACC_0421,ACC_0001,2944.32,2024-02-13 04:21:53,transfer
ACC_0009,ACC_0065,163.84,2024-03-06 08:08:46,transfer
ACC_0472,ACC_0394,520.47,2024-02-15 08:46:40,transfer
ACC_0004,ACC_0465,1287.33,2024-03-29 19:54:25,transfer
ACC_0485,ACC_0440,1889.62,2024-02-15 09:49:03,transfer
ACC_0064,ACC_0139,2127.39,2024-03-18 15:21:29,payment
ACC_0194,ACC_0455,1083.49,2024-03-28 21:17:54,transfer
ACC_0099,ACC_0015,1011.49,2024-02-20 16:12:21,payment
ACC_0100,ACC_0231,6219.24,2024-01-17 07:39:15,transfer
ACC_0253,ACC_0177,900.55,2024-01-28 07:29:03,transfer
ACC_0358,ACC_0326,2906.45,2024-02-02 12:24:20,payment
ACC_0132,ACC_0106,202.09,2024-02-20 19:25:46,transfer
ACC_0247,ACC_0476,3013.43,2024-01-22 11:05:15,transfer
ACC_0148,ACC_0403,934.97,2024-01-21 08:49:55,payment
ACC_0303,ACC_0207,3538.92,2024-03-05 05:20:49,transfer
ACC_0055,ACC_0259,133545.83,2024-03-11 08:57:18,payment
ACC_0088,ACC_0173,404.27,2024-01-02 06:30:33,transfer
ACC_0129,ACC_0019,388.77,2024-03-09 08:25:36,transfer
ACC_0120,ACC_0412,1091.61,2024-01-03 22:52:10,transfer
ACC_0456,ACC_0189,979.59,2024-03-29 05:16:10,transfer
ACC_0169,ACC_0163,100.0,2024-01-09 01:49:10,transfer
ACC_0145,ACC_0378,5249.71,2024-03-12 21:30:45,transfer
ACC_0265,ACC_0016,3596.2,2024-03-10 15:42:33,payment
ACC_0239,ACC_0447,108870.14,2024-01-11 23:09:44,payment
ACC_0383,ACC_0382,3439.92,2024-01-28 18:16:22,transfer
ACC_0463,ACC_0497,2187.19,2024-01-04 06:24:13,payment
ACC_0046,ACC_0066,935.73,2024-01-04 01:49:39,payment
ACC_0401,ACC_0301,5249.19,2024-02-01 07:44:15,transfer
ACC_0048,ACC_0489,100.0,2024-02-07 06:37:24,transfer
ACC_0231,ACC_0132,1235.05,2024-03-17 13:02:10,withdrawal
ACC_0212,ACC_0092,477.79,2024-01-25 07:56:11,transfer
ACC_0378,ACC_0163,393.38,2024-01-05 16:13:54,transfer
ACC_0208,ACC_0187,394.78,2024-02-15 05:47:14,transfer
ACC_0304,ACC_0282,1140.34,2024-02-13 11:57:37,transfer
ACC_0411,ACC_0334,196288.14,2024-03-28 06:42:23,withdrawal
ACC_0289,ACC_0419,559.67,2024-03-24 09:24:45,transfer
ACC_0263,ACC_0113,1029.66,2024-03-14 15:22:15,transfer
ACC_0083,ACC_0464,609.96,2024-02-01 19:01:16,payment
ACC_0281,ACC_0130,2023.0,2024-01-06 07:06:46,payment
ACC_0006,ACC_0033,236.53,2024-01-27 12:57:01,payment
ACC_0129,ACC_0189,7706.63,2024-01-11 16:20:35,withdrawal
ACC_0129,ACC_0092,1314.38,2024-01-11 20:30:56,payment
ACC_0293,ACC_0245,368.56,2024-02-09 20:08:13,transfer
ACC_0360,ACC_0499,114110.35,2024-01-29 07:16:02,transfer
ACC_0436,ACC_0385,420.42,2024-03-24 00:17:32,transfer
ACC_0292,ACC_0464,1025.87,2024-01-31 23:45:41,transfer
ACC_0157,ACC_0341,2388.06,2024-02-10 17:17:33,transfer
ACC_0275,ACC_0449,183.67,2024-02-12 23:41:23,transfer
ACC_0352,ACC_0295,772.83,2024-01-04 11:42:10,transfer
ACC_0294,ACC_0327,127.93,2024-03-12 22:03:56,payment
ACC_0474,ACC_0201,150.04,2024-03-19 20:44:14,transfer
ACC_0469,ACC_0184,368.14,2024-02-12 01:34:20,transfer
ACC_0148,ACC_0234,666.91,2024-02-03 04:46:38,transfer
ACC_0094,ACC_0098,608.16,2024-01-28 15:39:59,transfer
ACC_0313,ACC_0122,4149.64,2024-02-01 02:01:41,payment
ACC_0008,ACC_0189,145.52,2024-01-24 21:49:11,payment
ACC_0483,ACC_0061,2141.63,2024-03-22 21:09:45,transfer
ACC_0355,ACC_0214,1129.36,2024-02-18 11:26:58,transfer
ACC_0493,ACC_0009,1275.04,2024-01-09 08:24:59,transfer
ACC_0352,ACC_0375,3472.31,2024-01-08 06:54:17,withdrawal
ACC_0361,ACC_0299,590.01,2024-02-26 14:31:39,payment
ACC_0295,ACC_0421,5251.09,2024-01-05 00:54:23,payment
ACC_0018,ACC_0354,2647.12,2024-01-20 11:08:30,payment
ACC_0244,ACC_0210,47432.0,2024-03-21 17:30:15,payment
ACC_0169,ACC_0154,104.45,2024-01-19 09:24:59,withdrawal
ACC_0355,ACC_0382,706.86,2024-01-25 18:12:43,withdrawal
ACC_0146,ACC_0082,711.71,2024-03-04 17:40:42,transfer
ACC_0303,ACC_0149,100.0,2024-01-07 13:17:32,transfer
ACC_0364,ACC_0449,3279.86,2024-01-01 10:29:30,withdrawal
ACC_0156,ACC_0378,1217.5,2024-01-22 14:38:00,transfer
ACC_0243,ACC_0046,368.0,2024-01-30 05:13:49,transfer
ACC_0146,ACC_0299,4807.85,2024-02-25 14:24:28,transfer
ACC_0497,ACC_0196,978.1,2024-02-04 14:54:58,transfer
ACC_0073,ACC_0143,101.22,2024-01-10 02:34:28,transfer
ACC_0382,ACC_0307,100.0,2024-03-23 17:34:13,transfer
ACC_0013,ACC_0201,100.0,2024-01-27 08:51:23,withdrawal
ACC_0131,ACC_0165,381.72,2024-01-19 19:21:09,payment
ACC_0210,ACC_0248,409.42,2024-01-14 23:09:58,payment
ACC_0188,ACC_0153,1829.68,2024-01-13 11:20:02,payment
ACC_0105,ACC_0434,1128.86,2024-02-20 00:05:10,transfer
ACC_0283,ACC_0162,100.0,2024-01-16 07:53:21,payment
ACC_0474,ACC_0144,3282.8,2024-01-01 03:20:26,withdrawal
ACC_0033,ACC_0353,175.78,2024-03-16 04:44:42,transfer
ACC_0444,ACC_0028,2846.23,2024-03-07 03:34:14,payment
ACC_0117,ACC_0383,874.64,2024-02-08 08:41:14,transfer
ACC_0014,ACC_0250,1615.52,2024-02-06 02:14:10,payment
ACC_0075,ACC_0472,297.7,2024-01-05 15:46:46,withdrawal
ACC_0056,ACC_0332,1755.72,2024-03-09 16:31:36,transfer
ACC_0131,ACC_0030,1155.47,2024-02-02 23:48:54,transfer
ACC_0213,ACC_0163,1600.49,2024-03-09 22:05:13,transfer
ACC_0125,ACC_0020,7412.55,2024-01-14 11:52:24,payment
ACC_0287,ACC_0066,3324.03,2024-03-28 00:59:30,transfer
ACC_0423,ACC_0218,100.0,2024-01-14 13:17:50,transfer
ACC_0147,ACC_0381,5284.64,2024-01-25 06:12:39,payment
ACC_0022,ACC_0053,2919.24,2024-01-07 11:13:20,payment
ACC_0422,ACC_0179,100.0,2024-01-28 13:14:45,withdrawal
ACC_0297,ACC_0485,406.73,2024-01-24 04:27:13,transfer
ACC_0195,ACC_0277,1539.67,2024-01-20 22:15:57,payment
ACC_0396,ACC_0233,1973.83,2024-03-21 07:53:22,transfer
ACC_0263,ACC_0277,442.84,2024-03-19 12:55:29,withdrawal
ACC_0164,ACC_0269,1038.83,2024-03-02 08:53:42,transfer
ACC_0098,ACC_0268,930.46,2024-02-01 08:42:44,transfer
ACC_0053,ACC_0488,100.0,2024-02-17 11:41:40,withdrawal
ACC_0381,ACC_0061,627.15,2024-03-08 14:27:17,transfer
ACC_0382,ACC_0076,8378.71,2024-03-22 00:36:02,transfer
ACC_0027,ACC_0345,158091.32,2024-01-24 14:08:27,payment
ACC_0378,ACC_0445,4982.27,2024-03-05 15:38:13,transfer
ACC_0460,ACC_0348,5491.38,2024-01-06 07:52:56,payment
ACC_0293,ACC_0206,1532.71,2024-02-09 08:11:47,withdrawal
ACC_0249,ACC_0080,1966.89,2024-03-03 04:45:44,transfer
ACC_0269,ACC_0419,292.58,2024-02-21 10:35:26,transfer
ACC_0425,ACC_0291,1510.62,2024-02-01 01:48:11,payment
ACC_0328,ACC_0094,6499.23,2024-02-27 17:44:31,payment
ACC_0473,ACC_0268,3522.08,2024-03-10 23:49:28,transfer
ACC_0050,ACC_0422,3411.29,2024-02-17 11:11:00,payment
ACC_0165,ACC_0045,1782.99,2024-01-17 09:32:09,payment
ACC_0110,ACC_0449,1722.76,2024-03-15 11:16:20,payment
ACC_0147,ACC_0169,1905.95,2024-03-16 08:34:48,payment
ACC_0432,ACC_0184,1715.81,2024-02-16 18:40:04,transfer
ACC_0391,ACC_0071,349.67,2024-01-15 10:54:58,withdrawal
ACC_0186,ACC_0190,1169.17,2024-02-15 11:07:52,transfer
ACC_0112,ACC_0169,1030.89,2024-03-17 23:41:54,payment
ACC_0191,ACC_0400,277.66,2024-03-13 05:50:33,payment
